ada,issueDate,year,month,titlos_apofasis,foreas_name,organization,decisionType,poso_eur,assignment_type,contractor_name,documentUrl,kategoria,size_category
69ΨΣΩΛΔ-Ξ0Α,17/10/2024 03:00:00,2024,10,"Επεμβάσεις Ενεργειακής Αναβάθμισης Σχολικών Κτιρίων Δήμου Λυκόβρυσης-Πεύκης
2oς ΛΟΓΑΡΙΑΣΜΟΣ",ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ,"{'uid': '6178', 'label': 'ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ', 'active': None, 'latinName': 'likovrisipefki', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",47484.31,Συνοπτικός Διαγωνισμός,Δεν εντοπίστηκε,https://diavgeia.gov.gr/doc/69ΨΣΩΛΔ-Ξ0Α,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Δ. €20.000 - €50.000
Ρ6ΦΡΩ9Ρ-ΑΧΟ,11/09/2024 03:00:00,2024,9,8ΟΣ ΛΟΓΑΡΙΑΣΜΟΣ ΕΠΕΜΒΑΣΕΙΣ ΕΝΕΡΓΕΙΑΚΗΣ ΑΝΑΒΑΘΜΙΣΗΣ ΣΧΟΛΙΚΩΝ ΚΤΙΡΙΩΝ ΔΗΜΟΥ ΒΡΙΛΗΣΣΙΩΝ,ΔΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ,"{'uid': '6061', 'label': 'ΔΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ', 'active': None, 'latinName': 'dimosvrilissia', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",58709.5,Απλή Πληρωμή / Τακτική,ΔΟΜΗΣΗ ΤΕΧΝΙΚΗ ΕΠΕ,https://diavgeia.gov.gr/doc/Ρ6ΦΡΩ9Ρ-ΑΧΟ,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Ε. Άνω από €50.000
65Μ9ΩΛΔ-Τ6Λ,11/10/2024 03:00:00,2024,10,Επεμβάσεις Ενεργειακής Αναβάθμισης Σχολικών Κτιρίων Δήμου Λυκόβρυσης-Πεύκης  2oς ΛΟΓΑΡΙΑΣΜΟΣ,ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ,"{'uid': '6178', 'label': 'ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ', 'active': None, 'latinName': 'likovrisipefki', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",47484.31,Συνοπτικός Διαγωνισμός,Δεν εντοπίστηκε,https://diavgeia.gov.gr/doc/65Μ9ΩΛΔ-Τ6Λ,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Δ. €20.000 - €50.000
6ΜΥΗΩ9Ρ-ΔΞΤ,27/11/2024 02:00:00,2024,11,ΧΕΠ_1021/2024 - 10ος ΛΟΓΑΡΙΑΣΜΟΣ_ΕΠΕΜΒΑΣΕΙΣ ΕΝΕΡΓΕΙΑΚΗΣ ΑΝΑΒΑΘΜΙΣΗΣ ΣΧΟΛΙΚΩΝ ΚΤΙΡΙΩΝ,ΔΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ,"{'uid': '6061', 'label': 'ΔΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ', 'active': None, 'latinName': 'dimosvrilissia', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",49605.16,Απλή Πληρωμή / Τακτική,ΔΟΜΗΣΗ ΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙ,https://diavgeia.gov.gr/doc/6ΜΥΗΩ9Ρ-ΔΞΤ,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Δ. €20.000 - €50.000
9ΡΒΒΩΕ6-ΛΦΦ,06/03/2025 02:00:00,2025,3,16ος ΛΟΓΑΡΙΑΣΜΟΣ Παρεμβάσεις ενεργειακής αναβάθμισης σχολικού συγκροτήματος Περιγιαλίου Δήμου Καβάλας».,ΔΗΜΟΣ ΚΑΒΑΛΑΣ,"{'uid': '6126', 'label': 'ΔΗΜΟΣ ΚΑΒΑΛΑΣ', 'active': None, 'latinName': 'dimos_kavalas', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",104357.18,Απλή Πληρωμή / Τακτική,ΚΑΒΑΛΑΣ (ΥΠΟΕΡΓΟ 3 ΟΠΣ,https://diavgeia.gov.gr/doc/9ΡΒΒΩΕ6-ΛΦΦ,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Ε. Άνω από €50.000
ΨΩ1ΛΩΛΔ-ΡΦ5,29/03/2024 02:00:00,2024,3,Υπηρεσία για την ωρίμανση πρότασης ενεργειακής αναβάθμισης σχολικών κτιρίων του Δήμου Λυκόβρυσης-Πεύκης,ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ,"{'uid': '6178', 'label': 'ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ', 'active': None, 'latinName': 'likovrisipefki', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",17324.19,Απλή Πληρωμή / Τακτική,Δεν εντοπίστηκε,https://diavgeia.gov.gr/doc/ΨΩ1ΛΩΛΔ-ΡΦ5,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Γ. €5.000 - €20.000
Ψ26ΨΩΕ6-Η4Μ,02/07/2025 03:00:00,2025,7,Μελέτη στατικής επάρκειας και ενεργειακής αναβάθμισης σχολικού συγκροτήματος στην οδό Δημοσθένους. ΣΥΝΕΧΙΖΟΜΕΝΟ,ΔΗΜΟΣ ΚΑΒΑΛΑΣ,"{'uid': '6126', 'label': 'ΔΗΜΟΣ ΚΑΒΑΛΑΣ', 'active': None, 'latinName': 'dimos_kavalas', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",65483.87,Απλή Πληρωμή / Τακτική,ΔΙΚΤΥΟ ΕΛΛΗΝΙΚΩΝ ΠΟΛΕΩΝ ΓΙΑ ΤΗΝ ΑΝΑΠΤΥΞΗ (INFO@DEPAN.EU) ΑΦΜ,https://diavgeia.gov.gr/doc/Ψ26ΨΩΕ6-Η4Μ,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Ε. Άνω από €50.000
Ψ7Ξ3Ω15-ΜΔΦ,29/08/2025 03:00:00,2025,8,Σ.- ΜΕΛΕΤΗ ΕΝΕΡΓΕΙΑΚΗΣ ΑΝΑΒΑΘΜΙΣΗΣ ΣΧΟΛΙΚΩΝ ΚΤΙΡΙΩΝ Α’ΘΜΙΑΣ & Β’ΘΜΙΑΣ ΔΗΜΟΥ ΣΟΥΦΛΙΟΥ,ΔΗΜΟΣ ΣΟΥΦΛΙΟΥ,"{'uid': '6284', 'label': 'ΔΗΜΟΣ ΣΟΥΦΛΙΟΥ', 'active': None, 'latinName': 'dimos_soufliou', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",26019.0,Απλή Πληρωμή / Τακτική,Δεν εντοπίστηκε,https://diavgeia.gov.gr/doc/Ψ7Ξ3Ω15-ΜΔΦ,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Δ. €20.000 - €50.000
7981ΩΡΩ-ΖΗΡ,21/07/2014 03:00:00,2014,7,ΧΕΠ Β319/21.7.2014 (ΕΝΕΡΓΕΙΑΚΗ ΑΝΑΒΑΘΜΙΣΗ ΣΧΟΛΙΚΩΝ ΚΤΙΡΙΩΝ ΔΗΜΟΥ ΕΜΜ.ΠΑΠΠΑ (3ος ΛΟΓ/ΣΜΟΣ)),ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,"{'uid': '6091', 'label': 'ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ', 'active': None, 'latinName': 'empapas', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",38556.61,Απλή Πληρωμή / Τακτική,ΦΟΡΟΛΟΓΙΚΗ ΕΝΗΜΕΡΟΤΗΤΑ,https://diavgeia.gov.gr/doc/7981ΩΡΩ-ΖΗΡ,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Δ. €20.000 - €50.000
62Ν8ΩΕ3-ΩΡΩ,05/11/2014 02:00:00,2014,11,"Εξόφληση 2ου λογαριασμού του έργου:Βελτίωση-Ενεργειακή αναβάθμιση σχολικών μονάδων ΤΚ Βώλακα και Περιθωρίου
Δήμου Κ. Νευ",ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,"{'uid': '6143', 'label': 'ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ', 'active': None, 'latinName': 'katonevrokopi', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",163210.24,Απλή Πληρωμή / Τακτική,Δεν εντοπίστηκε,https://diavgeia.gov.gr/doc/62Ν8ΩΕ3-ΩΡΩ,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Ε. Άνω από €50.000
7ΡΣΩΩΕ3-ΩΔΔ,27/08/2014 03:00:00,2014,8,Εξόφληση 1ου λογαριασμού του έργου:Βελτίωση-Ενεργειακή αναβάθμιση σχολικών μονάδων ΤΚ Βώλακα και Περιθωρίου,ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,"{'uid': '6143', 'label': 'ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ', 'active': None, 'latinName': 'katonevrokopi', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",153456.59,Διαγωνισμός,Δεν εντοπίστηκε,https://diavgeia.gov.gr/doc/7ΡΣΩΩΕ3-ΩΔΔ,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Ε. Άνω από €50.000
ΩΩΨ9ΩΡΩ-539,18/06/2014 03:00:00,2014,6,ΧΕΠ Β278/18.6.2014 (ΕΝΕΡΓΕΙΑΚΗ ΑΝΑΒΑΘΜΙΣΗ ΣΧΟΛΙΚΩΝ ΚΤΙΡΙΩΝ ΔΗΜΟΥ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ (2ος ΛΟΓ/ΣΜΟΣ)),ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,"{'uid': '6091', 'label': 'ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ', 'active': None, 'latinName': 'empapas', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",10101.55,Απλή Πληρωμή / Τακτική,Δεν εντοπίστηκε,https://diavgeia.gov.gr/doc/ΩΩΨ9ΩΡΩ-539,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Γ. €5.000 - €20.000
ΩΤΖΡΩΡΩ-ΞΗΘ,19/12/2014 02:00:00,2014,12,ΧΕΠ Β527/19.12.2014 (ΕΝΕΡΓΕΙΑΚΗ ΑΝΑΒΑΘΜΙΣΗ ΣΧΟΛΙΚΩΝ ΚΤΙΡΙΩΝ ΔΗΜΟΥ ΕΜΜ.ΠΑΠΠΑ (5ος ΛΟΓ/ΣΜΟΣ)),ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,"{'uid': '6091', 'label': 'ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ', 'active': None, 'latinName': 'empapas', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",68245.74,Απλή Πληρωμή / Τακτική,Δεν εντοπίστηκε,https://diavgeia.gov.gr/doc/ΩΤΖΡΩΡΩ-ΞΗΘ,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Ε. Άνω από €50.000
ΩΒΝΟΩΕ3-Ν4Ι,08/12/2014 02:00:00,2014,12,Εξόφληση 3ου λογαριασμού του έργου:Βελτίωση-Ενεργειακή αναβάθμιση σχολικών μονάδων ΤΚ Βώλακα και Περιθωρίου Δήμου Κ. Νευροκοπίου,ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,"{'uid': '6143', 'label': 'ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ', 'active': None, 'latinName': 'katonevrokopi', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",168250.0,Απλή Πληρωμή / Τακτική,Δεν εντοπίστηκε,https://diavgeia.gov.gr/doc/ΩΒΝΟΩΕ3-Ν4Ι,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Ε. Άνω από €50.000
ΩΤΦΘΩΡΩ-51Κ,25/09/2014 03:00:00,2014,9,ΧΕΠ Β414/25.9.2014 (ΕΝΕΡΓΕΙΑΚΗ ΑΝΑΒΑΘΜΙΣΗ ΣΧΟΛΙΚΩΝ ΚΤΙΡΙΩΝ ΔΗΜΟΥ ΕΜΜ.ΠΑΠΠΑ (4ος ΛΟΓ/ΣΜΟΣ)),ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,"{'uid': '6091', 'label': 'ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ', 'active': None, 'latinName': 'empapas', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",39843.64,Απλή Πληρωμή / Τακτική,ΥΠΕΥΘΥΝΗ ΔΗΛΩΣΗ,https://diavgeia.gov.gr/doc/ΩΤΦΘΩΡΩ-51Κ,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Δ. €20.000 - €50.000
Ψ7Θ0ΩΗΔ-ΒΨΞ,25/08/2020 03:00:00,2020,8,"ΕΡΕΥΝΑ ΕΝΕΡΓΕΙΑΚΗΣ ΑΝΑΒΑΘΜΙΣΗΣ ΣΧΟΛΙΚΩΝ ΣΥΓΚΡΟΤΗΜΑΤΩΝ ΚΑΙ ΕΚΔΟΣΗ ΕΝΕΡΓΕΙΑΚΩΝ ΠΙΣΤΟΠΟΙΗΤΙΚΩΝ ,ΩΣ ΤΟ ΣΥΝΗΜΜΕΝΟ ΤΙΜΟΛΟΓΙΟ & ΟΙ 12520/20 ΑΑΥ & Η 56777/19 ΣΥΜΒΑΣΗ.",ΔΗΜΟΣ ΧΑΛΑΝΔΡΙΟΥ,"{'uid': '6314', 'label': 'ΔΗΜΟΣ ΧΑΛΑΝΔΡΙΟΥ', 'active': None, 'latinName': 'dimos_halandriou', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",11065.14,Απλή Πληρωμή / Τακτική,Μ.-ΚΑΡΑΠΕΤΣΗΣ Α. Ο.Ε,https://diavgeia.gov.gr/doc/Ψ7Θ0ΩΗΔ-ΒΨΞ,Ανακαίνιση / Ενεργειακή Αναβάθμιση,Γ. €5.000 - €20.000
